0, 3149 
1, 5434 
2, 5785 
3, 5997 
4, 5743 
5, 6149 
6, 5740 
7, 5502 
8, 5982 
9, 5930 
10, 5986 
11, 5701 
12, 6252 
13, 6062 
14, 5605 
15, 5587 
16, 5757 
17, 5974 
18, 5952 
19, 5859 
20, 5898 
21, 5809 
22, 6135 
23, 6051 
24, 5835 
25, 5922 
26, 5924 
27, 5917 
28, 5966 
29, 5888 
30, 5779 
31, 5690 
32, 5940 
33, 5908 
34, 5956 
35, 5682 
36, 6147 
37, 5642 
38, 5822 
39, 5606 
40, 5715 
41, 5594 
42, 6105 
43, 5886 
44, 6011 
45, 5902 
46, 6148 
47, 5863 
48, 6231 
49, 6121 
50, 5364 
51, 5701 
52, 5591 
53, 6055 
54, 5413 
55, 6001 
56, 5903 
57, 5786 
58, 6161 
59, 6029 
60, 5929 
61, 5551 
62, 5902 
63, 5698 
64, 6048 
65, 5404 
66, 5650 
67, 5571 
68, 5861 
69, 6095 
70, 5920 
71, 5713 
72, 5703 
73, 5900 
74, 5301 
75, 5589 
76, 5673 
77, 5928 
78, 6052 
79, 5890 
80, 5253 
81, 5687 
82, 5841 
83, 5840 
84, 5885 
85, 5787 
86, 1086 
